name,cname,string,http
github,github,There isn't a GitHub Pages site here.,false
github,github,For root URLs (like http://example.com/) you must provide an index.html file,false
heroku,heroku,There's nothing here,true
heroku,heroku,No such app,true
tumblr,tumblr.com,There's nothing here.,true
tumblr,tumblr.com,Whatever you were looking for doesn't currently exist at this address,true
shopify,myshopify.com,Only one step left!,false
shopify,myshopify.com,"Sorry, this shop is currently unavailable.",false
instapage,pageserve.co,You've Discovered A Missing Link. Our Apologies!,false
tictail,tictail.com,Building a brand of your own?,true
campaignmonitor,createsend.com,Trying to access your account?,false
cargocollective,cargocollective.com,404 Not Found,false
amazonaws,s3.amazonaws.com,NoSuchBucket,false
amazonaws,s3.amazonaws.com,The specified bucket does not exist,false
smartling,smartling.com,Domain is not configured,false
acquia,acquia.com,If you are an Acquia Cloud customer and expect to see your site at this address,false
fastly,fastly.net,Please check that this domain has been added to a service,false
fastly,fastly.net,Fastly error: unknown domain:,false
pantheon,pantheonsite.io,The gods are wise,false
uservoice,uservoice.com,This UserVoice subdomain is currently available!,false
ghost,ghost.io,The thing you were looking for is no longer here,false
pingdom,stats.pingdom.com,pingdom,false
feedpress,redirect.feedpress.me,The feed has not been found,false
helpjuice,helpjuice.com,We could not find what you're looking for.,false
surge,surge.sh,project not found,false
surveygizmo-eu,privatedomain.surveygizmo.eu,data-html-name,false
teamwork,teamwork.com,Oops - We didn't find your site.,false
wordpress,wordpress,Domain mapping upgrade for this domain not found,false
wordpress,wordpress,Do you want to register *.wordpress.com?,false
bitbucket,bitbucket.io,Repository not found,true
helpscout,helpscoutdocs.com,No settings were found for this company:,false
jetbrains,myjetbrains.com,is not a registered InCloud YouTrack,false
azure,azurewebsites.net,404 Web Site not found,false
readme,readme.io,Project doesnt exist... yet!,false
kinsta,kinsta.com,No Site For Domain,false
intercom,intercom.io,Uh oh. That page doesn't exist.,false
launchrock,launchrock.com,It looks like you may have taken a wrong turn somewhere,false
pantheon,pantheon.io,404 error unknown site,false
strikingly,strikinglydns.com,page not found,false
uptimerobot,uptimerobot.com,page not found,false
fly,fly.io,404 Not Found,false
hatenablog,hatenablog.com,404 Blog is not found,false
mashery,mashery.com,Unrecognized domain,false
tilda,tilda.cc,Please renew your subscription,false
aftership,"aftership.com ","Oops.</h2><p class=""text-muted text-tight"">The page you're looking for doesn't exist.",false
agile CRM,agilecrm.com,"Sorry, this page is no longer available",false
Aha,aha.io,There is no portal here ... sending you back to Aha!,false
Airee.ru,airee.ru,Ошибка 402. Сервис Айри.рф не оплачен,false
Anima,animaapp.com,"If this is your website and you've just created it, try refreshing in a minute",false
Worksites,worksites.net,"Hello! Sorry, but the website you&rsquo;re looking for doesn&rsquo;t exist.",false
Worksites,worksites.net,Company Not Found,false
Wordpress,wordpress.com,Do you want to register,false
wufoo,wufoo.com,This content doesn't exist,false
wufoo,wufoo.com,Whoops. That was unexpected...,false
wishpond,wishpond.com,https://www.wishpond.com/404?campaign=true,false
Webflow,Webflow.io,"<p class=""description"">The page you are looking for doesn't exist or has been moved.</p>",false
vend,vend,Looks like you've traveled too far into cyberspace.,false
Vercel,vercel.app,<strong>404</strong> : NOT_FOUND,false
Vercel,vercel.app,The deployment could not be found on Vercel.,false
uservoice,uservoice.com,This UserVoice instance does not exist.,false
uservoice,uservoice.com,This UserVoice subdomain is currently available!,false
Uptimerobot,uptimerobot.com,page not found,false
Unbounce,unbouncepages.com,The requested URL was not found on this server.,false
Uberflip,uberflip.com,"Non-hub domain, The URL you've accessed does not provide a hub.",false
Tilda,tilda," <title>Please renew your subscription</title>",false
Tumblr,tumblr.com,There's nothing here.,false
zendesk,zendesk,"Oops, this help center no longer exists",false
Tictail,tictail," Building a brand of your own?",false
Teamwork,teamwork.com,Oops - We didn't find your site.,false
Tave,tave,<h1>Error 404: Page Not Found</h1>,false
Surveygizmo,Surveygizmo," data-html-name",false
Smugmug,Smugmug,"{""text"":""Page Not Found""",false
Smartling,Smartling,Domain is not configured,false
simplebooklet,simplebooklet.com,"     Get Started For Free  ",false
simplebooklet,simplebooklet.com,"We can't find this <a href=""https://simplebooklet.com",false
Surge,surge.sh,project not found,false
Strikingly,strikingly.com,PAGE NOT FOUND.,false
Strikingly,strikingly.com,But if you're looking to build your own website,false
Bigcartel,bigcartel.com,<h1>Oops! We couldn&#8217;t find that page.</h1>,false
Bitbucket,bigbucket,The page you have requested does not exist,false
Brightcove,brightcove,"<p class=""bc-gallery-error-code"">Error Code: 404</p>",false
Campaign Monitor,createsend.com,<strong>Trying to access your account?</strong>,false
Canny,canny.io,Company Not Found,false
Cargo,cargocollective.com,404 Not Found,false
persona,persona.co,"<a class=""fourohfour"" href=""http://asfsafd.persona.co"">",false
freshdesk,freshdesk.com,"May be this is still fresh! ",false
Fastly,fastly,Fastly error: unknown domain:,false
Frontify,frontify.com,Oops… looks like you got lost,false
Gemfury,furyns.com,404: This page could not be found.,false
Ghost,ghost.io,Domain Error,false
Github,github.io,There isn't a GitHub Pages site here.,false
Getresponse,getresponse,"With GetResponse Landing Pages, lead generation has never been easier",false
Getresponse,gr8.com,"With GetResponse Landing Pages, lead generation has never been easier",false
HatenaBlog,hatenablog.com,404 Blog is not found,false
helpjuice,helpjuice.com,We could not find what you're looking for.,false
Heroku,herokuapp.com,"There's nothing here, yet. ",false
Helprace,helprace.com,There is no account configured for this address!,false
Hubspot,hubspot,Domain not found,false
Intercom,intercom,This page is reserved for artistic dogs.,false
JetBrains,myjetbrains.com,We're terribly sorry,false
JetBrains,myjetbrains.com,is not a registered InCloud YouTrack.,false
Jazzhr,jazzhr,This account no longer active,false
Kinsta,kinsta,No Site For Domain,false
launchrock,launchrock.com,Oops! Page not found.,false
launchrock,launchrock.com,It looks like you may have taken a wrong turn somewhere. Don't worry...it happens to all of us.,false
Landingi,landingi," It looks like you're lost",false
Mashery,mashery," Unrecognized domain 	Unrecognized domain",false
Netlify,netlify,"Not found - ",false
Ngrok,ngrok.io,ngrok.io not found,false
Pantheon,pantheon,"The gods are wise, but do not know of the site which you seek.",false
pingdom,pingdom,"Sorry, couldn’t find the status page",false
pingdom,pingdom,Public Report Not Activated,false
Proposify,proposify,"If you need immediate assistance, please contact <a href=""mailto:support@proposify.biz",false
readme.io,readme.io,Project doesnt exist... yet!,false
readthedocs,readthedocs.io,SORRY,false
SmartJobBoard,mysmartjobboard.com,Job Board Is Unavailable,false
Shopify,myshopify.com,"Sorry, this shop is currently unavailable.",false
Strikingly,Strikingly,"PAGE NOT FOUND.",false
